backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,7680,4320,16.7307,25.3716,59.7704,39.4141
CUDA,Win64,Release,7680,4320,17.6222,26.5663,56.7466,37.6417
CUDA,Win64,Release,7680,4320,16.5084,24.6614,60.5752,40.5492
CUDA,Win64,Release,7680,4320,17.2096,25.5106,58.1071,39.1994
CUDA,Win64,Release,7680,4320,16.5927,24.8159,60.2675,40.2967
CUDA,Win64,Release,7680,4320,16.3615,25.314,61.1191,39.5038
CUDA,Win64,Release,7680,4320,16.9191,25.5618,59.1048,39.1209
CUDA,Win64,Release,7680,4320,17.0633,25.8274,58.6053,38.7186
CUDA,Win64,Release,7680,4320,16.5433,24.8588,60.4474,40.2272
CUDA,Win64,Release,7680,4320,16.4944,24.7043,60.6266,40.4788
CUDA,Win64,Release,7680,4320,16.6262,24.955,60.146,40.0721
CUDA,Win64,Release,7680,4320,18.9353,27.6549,52.8114,36.16
CUDA,Win64,Release,7680,4320,16.5365,24.7476,60.4723,40.408
CUDA,Win64,Release,7680,4320,17.891,26.0792,55.894,38.3447
CUDA,Win64,Release,7680,4320,16.5085,24.9474,60.5749,40.0843
CUDA,Win64,Release,7680,4320,16.7481,25.1272,59.7083,39.7975
CUDA,Win64,Release,7680,4320,16.4911,24.7467,60.6388,40.4094
CUDA,Win64,Release,7680,4320,16.8966,25.0864,59.1835,39.8622
CUDA,Win64,Release,7680,4320,17.8947,26.7221,55.8825,37.4222
CUDA,Win64,Release,7680,4320,18.5354,27.0317,53.9508,36.9936
CUDA,Win64,Release,7680,4320,19.0434,27.3612,52.5116,36.5481
CUDA,Win64,Release,7680,4320,16.4559,24.8991,60.7685,40.1621
CUDA,Win64,Release,7680,4320,16.2165,24.6764,61.6656,40.5246
CUDA,Win64,Release,7680,4320,16.4317,24.6446,60.858,40.5768
CUDA,Win64,Release,7680,4320,16.384,24.5361,61.0352,40.7563
CUDA,Win64,Release,7680,4320,16.969,25.6031,58.931,39.0578
CUDA,Win64,Release,7680,4320,17.6515,26.2105,56.6524,38.1526
CUDA,Win64,Release,7680,4320,16.8884,25.9711,59.2122,38.5043
CUDA,Win64,Release,7680,4320,18.2033,26.5591,54.9351,37.6519
CUDA,Win64,Release,7680,4320,17.9104,26.225,55.8335,38.1316
CUDA,Win64,Release,7680,4320,16.0199,24.1995,62.4224,41.3232
CUDA,Win64,Release,7680,4320,16.3623,24.5463,61.1161,40.7393
CUDA,Win64,Release,7680,4320,16.4997,24.9818,60.6072,40.0291
CUDA,Win64,Release,7680,4320,17.8532,25.819,56.0124,38.7312
CUDA,Win64,Release,7680,4320,16.6494,25.1156,60.0622,39.8159
CUDA,Win64,Release,7680,4320,16.988,25.5122,58.8651,39.1969
