backend,render_ms,frame_ms,render_fps,frame_fps
CUDA,1.3935,2.1473,717.617,465.701
CUDA,1.3974,2.0777,715.615,481.301
CUDA,1.552,2.3076,644.33,433.351
CUDA,1.5554,2.4116,642.921,414.662
CUDA,1.5768,2.4161,634.196,413.89
CUDA,1.3258,2.0485,754.262,488.162
CUDA,1.3103,2.0096,763.184,497.611
CUDA,1.3193,2.0271,757.978,493.316
CUDA,1.3549,2.2045,738.062,453.618
CUDA,1.2877,2.2958,776.578,435.578
CUDA,1.6503,3.2281,605.95,309.78
CUDA,1.8047,2.7188,554.109,367.809
CUDA,1.2499,2.0517,800.064,487.401
CUDA,1.2837,1.9802,778.998,505
CUDA,1.2552,1.9395,796.686,515.597
CUDA,1.2492,1.9062,800.512,524.604
CUDA,1.3443,2.0544,743.882,486.76
CUDA,1.1674,2.4416,856.604,409.568
CUDA,2.2564,3.1763,443.184,314.832
CUDA,1.3183,2.0621,758.553,484.943
CUDA,1.3088,2.1721,764.059,460.384
CUDA,1.368,2.1763,730.994,459.495
CUDA,1.5991,2.4325,625.352,411.1
CUDA,1.3727,2.1306,728.491,469.351
CUDA,1.5678,2.6775,637.836,373.483
CUDA,2.1008,2.801,476.009,357.015
CUDA,1.0932,1.749,914.746,571.755
CUDA,1.0626,1.6885,941.088,592.242
CUDA,1.052,1.6491,950.57,606.391
CUDA,1.0516,1.6566,950.932,603.646
CUDA,1.0532,1.6847,949.487,593.577
CUDA,1.0467,1.7645,955.384,566.733
CUDA,1.4219,2.2265,703.284,449.135
CUDA,1.4858,2.2978,673.038,435.199
CUDA,1.5729,2.2342,635.768,447.587
CUDA,1.2663,1.9176,789.702,521.485
CUDA,1.2584,1.9023,794.66,525.679
CUDA,1.2507,1.9056,799.552,524.769
CUDA,1.2406,1.9041,806.062,525.182
CUDA,1.0481,1.7671,954.107,565.899
CUDA,1.0649,1.7337,939.055,576.801
CUDA,1.1253,1.8592,888.652,537.866
CUDA,0.8984,2.2091,1113.09,452.673
CUDA,1.053,1.6575,949.668,603.318
CUDA,1.1103,1.8604,900.658,537.519
CUDA,1.0814,1.7409,924.727,574.416
CUDA,1.0724,1.7203,932.488,581.294
CUDA,1.1247,1.8327,889.126,545.643
CUDA,1.1204,1.8732,892.538,533.846
CUDA,1.0681,1.7435,936.242,573.559
CUDA,1.1099,1.874,900.982,533.618
CUDA,2.2315,2.959,448.129,337.952
CUDA,1.0661,1.6704,937.998,598.659
CUDA,1.0558,1.6555,947.149,604.047
CUDA,1.0469,1.7056,955.201,586.304
CUDA,1.255,1.9069,796.813,524.411
CUDA,1.3033,1.9609,767.283,509.97
CUDA,1.2662,1.9135,789.765,522.603
CUDA,1.3452,2.1103,743.384,473.866
CUDA,1.2734,1.945,785.299,514.139
CUDA,1.5728,2.2304,635.809,448.35
CUDA,1.2623,1.9097,792.205,523.642
CUDA,1.3081,1.9785,764.468,505.433
CUDA,1.0579,1.6394,945.269,609.979
CUDA,1.1168,1.7993,895.415,555.772
CUDA,1.0808,1.7019,925.241,587.579
CUDA,1.0735,1.7016,931.532,587.682
CUDA,1.1198,1.8973,893.017,527.065
CUDA,1.0211,2.7401,979.336,364.95
CUDA,1.4424,2.1543,693.289,464.188
CUDA,1.2805,1.9939,780.945,501.53
CUDA,1.0769,1.6706,928.591,598.587
CUDA,1.1445,1.8953,873.744,527.621
CUDA,1.103,1.6895,906.618,591.891
CUDA,1.2844,1.9291,778.574,518.376
CUDA,1.3881,2.4343,720.409,410.796
CUDA,1.4419,2.1524,693.529,464.598
CUDA,1.057,1.6888,946.074,592.136
CUDA,1.07,1.7634,934.579,567.086
CUDA,1.5901,2.3878,628.891,418.796
CUDA,1.467,2.2696,681.663,440.606
CUDA,1.482,2.2603,674.764,442.419
CUDA,1.4298,2.3631,699.399,423.173
CUDA,1.4976,2.3347,667.735,428.321
CUDA,2.2947,3.0969,435.787,322.904
CUDA,1.3501,2.2833,740.686,437.963
CUDA,1.4972,2.2526,667.913,443.931
CUDA,1.4209,2.1323,703.779,468.977
CUDA,1.4949,2.2502,668.941,444.405
CUDA,1.3231,2.1219,755.801,471.276
CUDA,1.3378,2.2954,747.496,435.654
CUDA,2.3836,3.1776,419.533,314.703
CUDA,1.5614,2.3635,640.451,423.101
CUDA,1.4918,2.2453,670.331,445.375
CUDA,1.278,1.9738,782.473,506.637
CUDA,1.2685,1.9672,788.333,508.337
CUDA,1.3432,2.0835,744.491,479.962
CUDA,1.3464,2.259,742.721,442.674
CUDA,2.4947,3.4417,400.85,290.554
CUDA,1.3175,2.0748,759.013,481.974
CUDA,1.3235,2.0283,755.572,493.024
CUDA,1.3046,1.9962,766.518,500.952
CUDA,1.0608,1.6681,942.685,599.484
CUDA,1.2718,1.9433,786.287,514.589
CUDA,1.4286,2.1767,699.986,459.411
CUDA,1.3431,2.0844,744.546,479.754
CUDA,2.0958,2.7767,477.145,360.14
CUDA,1.052,1.6574,950.57,603.355
CUDA,1.0441,1.6334,957.763,612.22
CUDA,1.0489,1.6595,953.38,602.591
CUDA,1.045,1.6241,956.938,615.726
CUDA,1.0472,1.6332,954.927,612.295
CUDA,1.0449,1.6227,957.029,616.257
CUDA,1.3495,2.1163,741.015,472.523
CUDA,1.8891,2.6934,529.353,371.278
CUDA,1.4369,2.1529,695.943,464.49
CUDA,1.4306,2.126,699.007,470.367
CUDA,1.4016,2.1017,713.47,475.805
CUDA,1.4035,2.1483,712.504,465.484
CUDA,1.3802,2.0707,724.533,482.928
CUDA,1.3941,2.2023,717.309,454.071
CUDA,1.5486,2.3266,645.745,429.812
CUDA,2.0743,2.7189,482.09,367.796
CUDA,1.2818,1.9391,780.153,515.703
CUDA,1.2541,1.8991,797.385,526.565
CUDA,1.0429,1.633,958.865,612.37
CUDA,1.0395,1.6381,962.001,610.463
CUDA,1.0445,1.6237,957.396,615.877
CUDA,1.0409,1.6579,960.707,603.173
CUDA,1.2149,1.9527,823.113,512.111
CUDA,1.9105,3.2623,523.423,306.532
CUDA,1.404,2.1221,712.251,471.231
CUDA,1.3885,2.0804,720.202,480.677
CUDA,1.4125,2.1086,707.965,474.248
CUDA,1.388,2.0836,720.461,479.939
CUDA,1.39,2.1066,719.424,474.699
CUDA,1.3686,2.0447,730.674,489.069
CUDA,1.2377,1.9037,807.95,525.293
CUDA,1.9855,2.6096,503.651,383.2
CUDA,1.0471,1.6437,955.019,608.384
CUDA,1.0444,1.6446,957.488,608.051
CUDA,1.0418,1.6158,959.877,618.888
CUDA,1.0393,1.6228,962.186,616.219
CUDA,1.044,1.6279,957.854,614.288
CUDA,1.0409,1.7156,960.707,582.886
CUDA,1.2618,1.9541,792.519,511.745
CUDA,1.2782,1.9408,782.35,515.251
CUDA,2.1116,2.7641,473.575,361.781
CUDA,1.316,2.0378,759.878,490.725
CUDA,1.2657,1.9407,790.077,515.278
CUDA,1.2275,1.8817,814.664,531.434
CUDA,1.2406,1.895,806.062,527.704
CUDA,1.5056,2.2438,664.187,445.673
CUDA,1.123,1.7761,890.472,563.031
CUDA,1.6498,2.4096,606.134,415.007
CUDA,2.1592,2.9816,463.135,335.39
