backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,1920,1080,1.3208,2.158,757.117,463.392
CUDA,Win64,Release,1920,1080,1.9672,2.7511,508.337,363.491
CUDA,Win64,Release,1920,1080,1.1489,1.8812,870.398,531.576
CUDA,Win64,Release,1920,1080,1.1966,1.9877,835.701,503.094
CUDA,Win64,Release,1920,1080,1.1982,1.977,834.585,505.817
CUDA,Win64,Release,1920,1080,1.1645,1.9467,858.738,513.69
CUDA,Win64,Release,1920,1080,1.112,1.8642,899.281,536.423
CUDA,Win64,Release,1920,1080,1.147,2.1487,871.84,465.398
CUDA,Win64,Release,1920,1080,1.9546,2.9258,511.614,341.787
CUDA,Win64,Release,1920,1080,1.12,1.8532,892.857,539.607
CUDA,Win64,Release,1920,1080,1.2053,1.9605,829.669,510.074
CUDA,Win64,Release,1920,1080,1.1285,1.8276,886.132,547.166
CUDA,Win64,Release,1920,1080,1.1834,1.928,845.023,518.672
CUDA,Win64,Release,1920,1080,1.1251,1.8564,888.81,538.677
CUDA,Win64,Release,1920,1080,1.1803,1.9752,847.242,506.278
CUDA,Win64,Release,1920,1080,1.1699,2.1071,854.774,474.586
CUDA,Win64,Release,1920,1080,2.1133,2.8391,473.194,352.224
CUDA,Win64,Release,1920,1080,1.331,2.1112,751.315,473.664
CUDA,Win64,Release,1920,1080,1.1837,1.9898,844.809,502.563
CUDA,Win64,Release,1920,1080,1.2626,2.0477,792.016,488.353
CUDA,Win64,Release,1920,1080,1.1441,1.8741,874.049,533.589
CUDA,Win64,Release,1920,1080,1.3506,2.4198,740.412,413.257
CUDA,Win64,Release,1920,1080,1.2144,2.3077,823.452,433.332
CUDA,Win64,Release,1920,1080,1.9979,2.672,500.526,374.251
CUDA,Win64,Release,1920,1080,1.2656,2.0019,790.139,499.525
CUDA,Win64,Release,1920,1080,1.1779,1.9506,848.969,512.663
CUDA,Win64,Release,1920,1080,1.3236,2.063,755.515,484.731
CUDA,Win64,Release,1920,1080,1.1371,1.8571,879.43,538.474
CUDA,Win64,Release,1920,1080,1.1844,1.9772,844.309,505.766
CUDA,Win64,Release,1920,1080,1.2352,2.19,809.586,456.621
CUDA,Win64,Release,1920,1080,1.7698,2.4474,565.036,408.597
CUDA,Win64,Release,1920,1080,1.2475,1.932,801.603,517.598
CUDA,Win64,Release,1920,1080,1.1404,1.8608,876.885,537.403
CUDA,Win64,Release,1920,1080,1.1424,1.8544,875.35,539.258
CUDA,Win64,Release,1920,1080,1.1324,1.8216,883.08,548.968
CUDA,Win64,Release,1920,1080,1.1698,1.8604,854.847,537.519
CUDA,Win64,Release,1920,1080,1.1199,1.8151,892.937,550.934
CUDA,Win64,Release,1920,1080,1.1036,1.8812,906.125,531.576
CUDA,Win64,Release,1920,1080,1.92,2.9136,520.833,343.218
CUDA,Win64,Release,1920,1080,1.2164,2.0514,822.098,487.472
